clean_name,Voto,Fantavoto,Giornata
semper,6.5,5.5,2
cuadrado,5.5,5.5,2
caracciolo a,6.0,6.0,2
calabresi,6.0,6.0,2
mateus lusuardi,6.0,6.0,2
canestrelli,6.0,6.0,2
angori,5.0,5.0,2
tramoni m,5.5,5.5,2
aebischer,6.0,6.0,2
tourè i,6.0,6.0,2
marin m,5.5,5.0,2
nzola,5.5,5.5,2
moreo,5.5,5.5,2
meister,5.0,4.5,2
gilardino,5.5,5.5,2
svilar,6.5,6.5,2
mancini,6.0,6.0,2
ndicka,6.5,6.5,2
angelino,5.5,5.5,2
hermoso,6.5,6.5,2
wesley,6.0,6.0,2
cristante,6.0,6.0,2
el shaarawy,6.0,6.0,2
konè m,6.5,6.5,2
dybala,6.5,6.5,2
soulè,7.0,10.0,2
ferguson e,6.5,7.0,2
dovbyk,5.5,5.5,2
gasperini,6.5,6.5,2
muric,6.5,3.5,2
walukiewicz,5.5,5.5,2
doig,5.0,4.5,2
idzes,5.5,5.5,2
candè,5.5,5.5,2
muharemovic,5.0,5.0,2
matic,5.0,5.0,2
vranckx,5.5,5.5,2
volpato,6.5,7.5,2
boloca,5.5,5.5,2
lipani,5.5,5.5,2
fadera,5.5,5.5,2
berardi,7.0,10.0,2
pinamonti,7.0,10.0,2
laurientè,5.5,5.5,2
grosso,5.5,5.5,2
israel,6.5,6.5,2
biraghi,6.5,6.5,2
lazaro,6.0,5.5,2
maripan,6.5,6.5,2
pedersen,6.0,6.0,2
coco,6.5,6.5,2
ilic,6.0,6.0,2
vlasic,6.0,5.5,2
asllani,5.5,5.5,2
casadei,6.5,6.5,2
gineitis,5.5,5.5,2
simeone,6.5,6.5,2
ngonge,5.5,5.5,2
adams c,5.5,5.5,2
baroni,6.5,6.5,2
sava,6.0,4.5,2
bertola,6.0,5.5,2
ehizibue,6.0,6.0,2
zemura,6.0,6.0,2
kristensen t,6.5,6.5,2
goglichidze,6.0,6.0,2
solet,7.0,7.0,2
zarraga,6.0,5.5,2
karlstrom,6.5,6.5,2
ekkelenkamp,6.0,6.0,2
atta,7.0,10.0,2
piotrowski,6.0,6.0,2
davis k,8.0,12.0,2
bayo v,6.0,6.0,2
buksa,6.0,6.0,2
runjaic,8.0,8.0,2
montipò,5.0,1.0,2
bradaric,5.0,5.0,2
ebosse,5.0,5.0,2
frese,5.5,5.5,2
unai nunez,4.5,4.5,2
nelsson,4.0,4.0,2
belghali,5.5,5.5,2
cham,5.5,5.5,2
bella-kotchap,5.0,5.0,2
harroui,5.5,5.5,2
serdar,5.0,5.0,2
al-musrati,5.5,5.5,2
bernede,5.5,5.5,2
sarr a,5.0,5.0,2
mosquera,6.0,6.0,2
giovane,6.0,6.0,2
zanetti,4.0,4.0,2
carnesecchi,6.0,5.0,3
bellanova,6.5,6.5,3
scalvini,7.0,10.0,3
kossounou,6.5,6.5,3
hien,6.5,6.5,3
de roon,7.0,7.0,3
pasalic,6.5,6.5,3
maldini,6.0,6.0,3
brescianini,6.0,6.0,3
samardzic,6.0,6.0,3
musah,6.0,6.0,3
zalewski,7.5,11.5,3
sulemana k,6.0,6.0,3
de ketelaere,8.0,14.0,3
krstovic,6.5,8.5,3
juric,7.5,7.5,3
skorupski,6.0,4.5,3
lykogiannis,5.5,5.5,3
zortea,5.5,5.5,3
miranda j,5.5,5.0,3
lucumì,5.5,5.5,3
heggem,6.0,6.0,3
bernardeschi,5.5,5.5,3
freuler,5.5,5.5,3
orsolini,5.5,5.5,3
odgaard,6.0,6.0,3
ferguson,6.0,6.0,3
fabbian,5.5,5.5,3
rowe,6.0,6.0,3
cambiaghi,5.5,5.5,3
castro s,5.5,5.5,3
italiano,6.0,6.0,3
caprile,7.0,7.0,3
luperto,6.5,6.5,3
mina,7.0,10.0,3
zappa,6.0,5.5,3
obert,6.5,6.5,3
palestra,6.5,6.5,3
deiola,6.0,5.5,3
gaetano,6.0,6.0,3
adopo,6.0,6.0,3
folorunsho,6.0,6.0,3
prati,6.0,6.0,3
felici,7.0,10.0,3
belotti,5.5,5.5,3
esposito se,6.0,5.5,3
borrelli,6.0,6.0,3
pisacane,7.0,7.0,3
butez,6.0,5.0,3
vojvoda,5.5,5.5,3
valle,6.0,5.5,3
ramon,5.5,4.5,3
kempf,6.0,6.0,3
sergi roberto,5.5,5.0,3
caqueret,6.5,6.5,3
da cunha,6.0,6.0,3
perrone,5.5,5.5,3
paz n,7.0,10.0,3
morata,5.5,5.5,3
douvikas,6.0,6.0,3
addai,6.0,6.0,3
kuhn,6.5,6.5,3
rodriguez je,5.5,5.5,3
fabregas,6.0,5.5,3
audero,7.5,7.5,3
bianchetti,5.5,5.5,3
pezzella giu,5.5,5.5,3
terracciano f,5.5,5.5,3
baschirotto,5.0,5.0,3
grassi,6.0,6.0,3
vazquez,6.0,6.0,3
bondo,5.5,5.5,3
zerbin,5.5,5.5,3
sarmiento j,6.0,6.0,3
collocolo,5.5,5.0,3
vandeputte,5.5,5.5,3
sanabria,5.5,5.5,3
bonazzoli,5.5,5.5,3
vardy,6.0,6.0,3
nicola,5.5,5.5,3
de gea,7.0,4.0,3
gosens,6.5,6.5,3
ranieri l,6.0,9.0,3
pongracic,5.0,5.0,3
dodò,6.0,6.0,3
comuzzo,5.0,5.0,3
mandragora,6.0,6.0,3
nicolussi caviglia,6.0,6.0,3
fagioli,5.5,5.5,3
sohm,5.5,5.5,3
fazzini,6.5,6.5,3
dzeko,5.0,5.0,3
kean,5.5,5.5,3
piccoli,5.5,5.5,3
pioli,5.0,4.5,3
leali,6.5,5.5,3
sabelli,6.0,6.0,3
martin,6.0,6.0,3
vasquez,6.0,6.0,3
ostigard,6.0,5.5,3
norton-cuffy,6.5,6.5,3
malinovskyi,5.5,5.0,3
messias,6.5,6.5,3
frendrup,5.5,5.5,3
ellertsson,5.5,5.5,3
carboni v,6.5,6.5,3
